id,id_cliente,id_produto,data_venda,qtd,total
53,2,25,2024-10-03,12,145518.0
54,27,144,2024-09-30,4,8857.0
55,35,54,2024-11-24,3,346373.8
56,1,125,2024-03-11,13,44227.0
57,40,110,2023-07-17,11,27451.0
58,46,45,2024-08-22,2,19807.0
60,11,49,2024-03-20,14,176415.0
61,28,56,2024-09-05,8,326714.5
62,10,113,2024-05-18,15,62627.8
63,43,42,2024-01-27,15,85398.35
64,24,106,2023-10-17,13,57003.0
65,21,4,2024-10-14,7,22489.35
66,33,114,2024-10-12,9,7194.0
67,18,85,2024-02-04,3,109949.2
68,43,139,2024-01-16,9,12824.0
69,34,139,2023-09-18,8,11399.0
70,4,98,2023-08-13,13,980110.25
71,43,70,2023-09-09,5,163188.15
72,16,48,2024-08-10,2,29473.0
73,24,10,2024-12-20,3,91294.05
74,45,54,2024-09-25,11,1270038.85
75,38,91,2024-09-21,10,1348860.0
76,28,18,2024-07-03,14,353413.3
77,6,110,2024-12-13,2,4741.45
78,43,105,2024-08-13,7,2167.0
79,10,12,2024-12-31,13,35440.0
80,46,13,2024-03-06,6,46483.0
81,28,82,2024-04-11,10,490523.0
82,33,32,2024-07-11,9,106895.9
83,17,123,2023-03-04,5,13190.75
84,25,35,2023-05-01,1,10455.7
85,18,80,2024-09-05,7,904567.0
86,15,145,2023-02-06,8,34799.0
87,7,20,2023-11-24,14,431668.0
88,29,147,2024-11-03,5,15150.0
89,30,75,2023-12-21,8,262147.0
90,2,72,2024-07-22,3,284044.3
91,23,36,2023-06-01,15,339021.0
92,40,2,2023-04-19,7,93087.65
93,37,113,2023-01-11,11,45927.75
94,36,90,2023-08-02,8,632779.0
95,25,131,2024-12-17,12,11563.0
96,11,82,2023-08-22,8,392418.4
97,25,48,2024-09-18,2,29473.0
98,21,142,2024-02-13,2,1570.35
99,49,81,2024-01-06,9,1099336.0
100,22,93,2023-01-21,4,381812.6
101,11,47,2024-07-04,8,48984.0
102,9,67,2024-02-02,9,733495.95
103,36,146,2023-04-12,5,2356.0
104,11,24,2024-02-03,11,242776.3
105,23,77,2023-10-31,6,254816.6
106,48,143,2023-03-29,8,35491.0
107,38,98,2024-08-10,8,634889.0
108,4,139,2023-01-19,6,8121.55
109,39,96,2024-09-18,7,494346.0
110,34,148,2024-10-27,8,38284.0
111,28,32,2023-03-06,10,125025.0
112,37,100,2024-12-11,9,894331.9
113,28,28,2024-06-12,9,121910.65
114,12,75,2023-03-05,5,163842.0
115,27,85,2023-08-10,1,36650.05
116,7,130,2023-03-19,3,11810.4
117,27,18,2023-06-03,3,75731.15
118,18,122,2023-07-22,10,13225.0
119,46,80,2023-04-08,1,129224.0
120,6,81,2023-06-17,15,1832227.0
121,25,132,2024-02-14,13,20319.0
122,8,128,2023-03-09,10,44181.65
123,10,106,2023-06-15,6,24993.55
124,21,43,2023-05-18,3,105291.0
125,44,112,2024-08-23,11,23990.0
126,29,80,2024-07-14,5,613813.05
127,26,55,2024-02-09,7,769910.0
128,1,53,2023-03-24,14,751450.0
129,3,82,2024-02-26,11,567974.0
130,15,123,2024-12-18,2,5554.0
132,3,5,2024-10-15,12,284028.0
133,34,122,2024-11-13,2,2512.75
134,7,18,2023-11-01,7,176706.65
135,14,22,2024-09-26,11,433981.0
136,16,70,2023-02-03,10,343554.0
137,17,62,2024-11-14,5,511110.0
138,45,86,2023-06-11,4,355388.35
139,38,123,2024-12-22,1,2638.15
140,20,83,2024-05-29,5,640318.05
141,29,127,2024-06-15,5,7359.65
142,9,34,2024-12-28,5,24588.0
143,23,142,2024-03-16,5,3925.4
144,27,116,2024-01-15,4,10302.0
145,3,122,2023-10-16,12,15076.5
146,11,70,2023-12-26,10,343554.0
147,24,129,2023-07-01,1,3102.7
148,13,111,2024-09-06,15,61064.1
149,7,57,2024-07-13,1,112851.45
150,5,114,2024-04-06,13,9871.45
151,45,39,2023-12-15,6,177797.0
152,27,82,2023-06-06,8,413072.0
153,48,30,2023-12-30,11,336990.65
154,22,137,2024-02-17,10,32162.25
155,12,21,2024-06-22,9,78611.0
156,11,44,2024-10-22,13,133464.55
157,48,17,2024-04-24,1,13337.05
158,9,138,2024-11-27,5,19869.25
159,24,66,2024-03-07,15,188574.0
160,8,121,2023-05-27,11,40637.0
161,19,126,2024-09-09,8,21416.0
162,12,147,2024-06-25,15,43178.45
163,4,70,2023-03-09,7,228463.6
164,23,9,2023-09-14,5,198528.0
165,23,27,2023-12-28,8,125487.4
166,28,111,2023-02-17,2,8570.0
167,19,122,2024-08-22,11,13819.65
168,48,7,2024-05-10,6,111257.35
169,23,101,2023-01-24,2,927.0
170,16,116,2023-12-30,1,2576.0
171,8,24,2023-12-22,12,278786.0
172,15,123,2023-07-26,13,34296.9
173,13,131,2023-07-25,1,964.0
174,42,16,2023-09-01,6,180036.0
175,19,88,2023-01-28,6,275518.05
176,32,124,2024-11-14,12,45239.0
177,17,69,2023-03-11,4,181060.0
178,6,143,2023-10-07,6,25288.05
179,41,76,2024-09-27,14,1971036.25
180,25,38,2024-05-16,2,52922.0
181,28,127,2023-02-02,11,16190.85
182,7,115,2023-09-06,5,4153.0
183,27,80,2023-04-26,9,1163015.0
184,33,7,2024-03-31,3,55628.2
185,39,27,2023-09-01,7,115580.0
186,14,7,2023-06-23,10,185428.6
187,44,80,2024-01-09,2,245525.6
188,26,117,2024-02-07,10,41030.0
190,24,138,2023-12-18,8,31790.8
191,43,101,2024-11-24,11,5097.0
192,6,148,2024-01-26,9,40916.5
193,7,144,2024-03-01,6,12620.75
194,9,52,2024-07-06,6,82225.0
195,9,81,2023-06-24,14,1710079.0
196,8,74,2023-12-26,9,779027.0
197,2,83,2024-01-29,12,1536764.65
198,38,106,2023-11-14,10,43849.0
199,2,99,2023-10-31,11,1120936.35
200,20,44,2023-10-20,7,71865.6
201,38,79,2023-03-24,11,727615.0
202,27,57,2023-05-11,8,950325.0
203,13,18,2023-01-18,3,79717.0
204,22,138,2024-08-24,8,31790.8
205,41,119,2023-09-25,9,27836.9
206,9,124,2024-08-30,8,28651.05
207,10,51,2024-09-01,15,914265.75
208,37,74,2024-07-21,3,259676.0
209,38,15,2024-09-11,10,278998.0
210,29,18,2024-04-02,12,302925.55
211,17,108,2023-08-31,14,44496.1
212,5,9,2023-02-23,4,150880.9
213,6,35,2023-08-27,8,88044.0
214,14,66,2023-11-15,7,83600.95
215,43,144,2023-09-16,13,28784.0
216,9,55,2024-08-09,3,313463.9
217,22,112,2023-10-19,13,26934.4
218,38,84,2024-01-16,8,330021.45
219,9,115,2023-11-02,14,11628.0
220,29,23,2024-08-29,14,148675.95
221,39,104,2023-07-23,4,14852.0
222,27,116,2023-06-21,9,23180.0
223,18,125,2023-06-11,9,29088.05
224,42,34,2023-11-21,10,46716.25
225,41,106,2023-09-03,14,58318.6
226,18,144,2024-09-14,13,27344.8
227,15,9,2024-11-18,6,238233.0
228,6,78,2024-01-24,6,730569.0
229,42,100,2023-07-17,4,418401.0
230,14,78,2024-04-08,5,578367.6
231,6,16,2023-05-11,4,120024.0
232,42,144,2024-01-18,9,18930.65
233,23,83,2023-06-05,4,539216.0
234,46,22,2024-08-17,2,74960.7
235,29,131,2024-07-28,2,1830.65
236,33,113,2023-08-01,10,41752.5
237,36,117,2024-03-23,14,57442.0
238,40,55,2024-04-17,4,417951.55
239,28,28,2024-01-10,10,142586.0
240,47,91,2023-04-21,10,1348860.0
241,21,81,2023-11-28,5,610742.0
242,2,132,2024-03-17,14,21882.0
243,40,98,2023-02-23,14,1055503.2
244,28,130,2024-07-17,10,41441.0
245,12,55,2024-10-07,7,769910.0
246,28,137,2023-07-01,14,47397.0
247,23,22,2024-05-23,11,412281.95
248,36,103,2024-12-28,12,21470.0
249,38,67,2024-12-07,13,1115258.0
250,34,66,2023-12-01,14,167202.85
252,15,70,2024-12-10,1,34355.0
253,5,61,2024-03-15,14,392261.0
254,24,5,2023-10-27,7,157398.85
255,10,74,2023-09-21,9,740075.65
256,12,130,2023-06-05,4,16576.0
257,15,124,2023-04-30,1,3581.5
258,49,7,2024-09-12,3,55628.2
259,11,51,2023-11-27,5,320795.0
260,3,59,2024-03-01,1,87166.0
261,11,130,2024-07-24,4,16576.0
262,1,65,2023-02-26,15,383366.0
263,3,107,2024-11-29,2,2875.65
264,10,32,2024-01-24,12,142528.5
265,15,64,2024-12-01,12,1338067.0
266,45,16,2023-08-17,9,270054.0
267,41,101,2023-07-15,14,6488.0
268,24,97,2024-11-09,5,676675.0
269,4,82,2024-06-13,8,413072.0
270,2,119,2024-09-16,12,39070.0
271,49,105,2023-08-20,15,4643.0
272,6,106,2023-10-05,8,33325.05
273,2,143,2024-01-21,15,66546.0
274,40,141,2024-07-14,9,43036.0
275,40,67,2024-02-25,6,514734.0
276,41,110,2023-12-12,10,23707.25
277,9,55,2023-05-11,1,104487.65
278,21,129,2023-02-21,1,3102.7
279,1,71,2023-08-11,12,1562089.0
280,23,62,2024-03-22,9,873998.1
281,16,33,2023-04-09,13,87305.0
282,30,130,2024-08-10,1,4144.0
283,3,124,2023-02-10,10,35814.05
284,37,85,2023-06-28,13,476446.85
285,28,96,2024-12-26,5,335448.8
286,42,35,2024-06-29,3,33017.0
287,3,42,2023-05-11,5,28465.8
288,23,138,2024-10-08,2,7947.7
289,29,75,2024-02-03,8,262147.0
290,28,79,2023-11-05,10,628394.6
291,18,107,2023-09-06,2,2875.65
292,49,74,2023-08-10,1,82231.05
293,23,23,2023-03-14,13,138055.9
294,5,120,2023-05-10,9,28120.0
295,47,102,2023-07-09,12,9984.0
296,38,89,2024-09-16,15,1180171.0
297,28,4,2023-11-12,11,37201.0
298,6,98,2023-05-26,1,75392.95
299,42,137,2024-11-15,6,20313.0
300,19,62,2024-08-05,1,102222.0
301,30,96,2024-10-23,10,706208.0
302,44,74,2024-08-04,11,904536.8
303,28,8,2023-09-01,9,44857.0
304,7,35,2024-01-21,2,22011.0
305,11,38,2024-02-19,12,317534.0
306,12,70,2023-01-04,6,206133.0
307,10,144,2023-07-19,4,8857.0
308,16,124,2023-12-26,3,11310.0
309,19,63,2023-09-23,13,1728477.5
310,20,110,2023-01-29,6,14224.35
311,43,29,2023-11-29,1,34684.5
312,46,101,2024-08-31,12,5282.95
313,27,12,2024-11-08,1,2589.7
314,14,35,2023-05-09,11,121061.0
315,12,137,2023-01-08,8,27084.0
316,41,94,2023-07-24,13,503272.95
317,15,73,2024-10-06,12,1717919.0
318,1,97,2024-12-14,9,1218016.0
319,12,16,2023-11-11,15,450090.0
320,39,45,2024-02-17,8,75268.5
321,42,8,2024-10-01,7,34889.0
322,47,50,2024-05-21,15,160683.0
323,46,106,2024-02-02,7,29159.3
324,15,21,2023-04-17,5,43673.0
325,30,130,2024-08-13,8,31495.35
326,32,27,2023-06-05,15,247672.0
327,43,60,2023-10-19,8,826508.55
328,38,78,2024-07-26,12,1388082.05
329,3,123,2024-11-30,1,2777.0
331,2,97,2023-11-22,11,1488686.0
332,44,26,2023-08-28,15,259248.0
333,35,36,2023-05-08,6,128827.6
334,40,86,2023-01-11,6,561139.0
335,44,14,2024-12-15,11,374225.9
336,22,29,2024-01-02,14,485587.75
337,35,137,2024-06-15,13,44011.0
338,44,110,2024-06-26,2,4741.45
339,43,134,2023-04-05,3,14153.0
340,24,130,2023-03-18,4,16576.0
341,35,34,2024-07-06,2,9343.25
342,3,74,2023-11-10,6,493383.45
343,47,64,2023-07-11,14,1483024.1
344,47,138,2024-05-16,12,50197.0
345,36,89,2024-10-21,3,236034.0
346,48,39,2024-12-15,14,394117.0
347,17,63,2023-10-14,11,1462557.3
348,38,40,2024-11-24,14,188648.15
349,31,55,2024-12-15,8,835903.1
350,42,7,2023-05-11,5,92714.3
351,41,6,2024-04-09,14,157208.85
352,32,136,2024-02-09,8,15788.0
353,6,88,2024-09-29,5,229597.9
354,12,113,2023-10-13,9,37577.25
355,8,141,2023-08-07,8,36341.3
356,14,22,2023-11-20,1,37480.35
357,42,27,2023-07-31,15,235288.4
358,42,10,2023-06-10,15,480496.0
359,15,26,2024-06-07,4,65676.35
360,33,63,2024-09-10,3,419873.0
361,29,9,2024-07-15,15,595582.0
362,39,20,2024-04-21,10,292917.3
363,49,130,2024-08-20,8,33153.0
364,6,6,2024-07-27,6,70921.0
365,14,112,2024-06-23,11,23990.0
366,18,16,2024-09-19,14,399079.8
367,17,72,2024-04-30,7,697652.0
368,6,129,2023-08-09,14,43440.65
369,27,114,2024-06-23,3,2398.0
370,47,27,2024-02-23,9,148603.0
371,3,57,2024-05-24,9,1015659.25
372,42,77,2023-02-20,7,312933.0
373,29,145,2024-01-31,6,26099.0
374,6,22,2024-08-06,15,562203.35
375,43,16,2024-07-26,1,30006.0
376,33,88,2024-10-17,15,725047.0
377,15,59,2023-03-29,15,1242117.4
378,49,80,2023-01-10,5,646119.0
379,25,26,2024-10-18,14,241965.0
381,12,39,2023-06-05,4,112604.45
382,3,7,2024-01-18,5,92714.3
383,24,121,2023-07-11,5,18471.0
384,30,4,2023-12-18,9,30437.0
385,25,3,2023-03-14,13,111448.3
386,33,73,2024-08-31,10,1431599.0
387,5,115,2023-02-21,12,9967.0
388,6,85,2024-01-28,3,109949.2
389,32,145,2024-12-18,1,4350.0
390,30,9,2024-06-01,9,357350.0
391,29,69,2024-09-04,2,90530.0
392,47,120,2023-03-18,1,3124.0
393,39,130,2023-07-10,6,24865.0
394,25,128,2023-08-17,11,48600.1
395,3,29,2023-02-27,11,381533.3
396,9,67,2023-08-30,13,1115258.0
397,37,108,2023-09-17,5,15891.6
398,21,139,2023-12-08,14,18950.6
399,16,124,2024-05-02,10,37699.0
400,12,122,2024-11-02,12,15870.0
402,13,85,2023-07-18,1,36650.05
403,46,32,2024-11-19,2,23754.75
404,46,5,2023-07-19,7,157398.85
405,13,45,2023-05-07,4,39615.0
406,15,63,2024-04-23,6,797758.7
407,23,59,2024-08-24,15,1307492.0
408,9,68,2023-11-16,9,571970.3
409,42,15,2023-12-23,7,195298.0
410,5,22,2024-07-24,12,473434.0
411,38,89,2023-10-20,15,1121162.45
412,31,115,2023-09-06,4,3155.9
413,42,66,2023-06-25,6,71658.5
414,18,75,2023-05-13,12,393221.0
415,17,97,2023-05-31,2,270670.0
416,13,16,2023-10-29,4,120024.0
417,41,85,2024-06-17,9,347208.0
418,5,68,2023-11-21,1,63552.15
419,39,150,2023-12-13,8,12506.75
420,38,12,2023-02-22,5,12949.45
421,17,122,2024-04-20,13,17192.0
422,18,104,2024-11-11,8,28218.8
423,31,24,2023-06-06,8,185857.0
424,38,77,2023-09-16,1,44705.0
425,23,90,2023-01-14,11,826567.45
426,37,12,2023-08-08,1,2726.0
427,42,63,2024-07-30,14,1861436.65
428,28,43,2024-12-05,4,140387.0
429,7,108,2024-01-24,10,33456.0
430,46,5,2023-11-24,10,236690.0
431,28,47,2023-03-10,7,40717.95
432,30,27,2023-04-20,1,15685.45
433,14,40,2024-03-16,9,127656.0
434,46,98,2024-09-29,13,980110.25
435,33,55,2023-05-02,1,109987.0
436,33,47,2024-03-18,6,36738.0
437,25,110,2024-12-01,11,26078.45
438,6,88,2024-04-01,6,275518.05
439,13,1,2024-01-02,2,66245.0
440,20,83,2024-02-28,6,808823.0
441,28,64,2024-03-24,14,1483024.1
442,44,17,2024-07-28,3,42116.0
443,15,91,2023-02-18,5,674430.0
444,27,28,2023-08-28,14,189639.0
445,29,6,2023-11-28,9,106382.0
446,13,139,2023-04-11,4,5700.0
447,34,144,2023-11-06,14,29448.1
448,31,56,2024-10-23,3,128966.0
449,14,60,2024-12-19,3,309940.35
450,48,62,2023-08-26,12,1165330.8
451,42,54,2024-02-19,13,1500955.35
452,28,134,2024-09-26,2,8963.25
453,22,96,2024-07-23,9,603808.6
454,39,29,2023-07-22,12,416217.8
455,39,13,2024-09-06,5,38736.0
456,17,43,2024-02-03,8,266736.25
457,49,92,2023-11-11,8,675291.35
458,41,13,2024-07-31,3,23241.0
459,44,67,2023-05-12,11,943680.0
460,31,150,2023-09-22,3,4690.15
461,10,23,2024-10-29,4,42479.25
462,49,126,2023-05-13,3,7629.45
463,7,26,2024-12-06,14,241965.0
464,45,64,2023-12-09,8,892044.0
465,17,96,2024-10-18,7,469628.7
466,45,9,2023-01-05,15,595582.0
467,22,30,2023-05-31,4,128991.0
468,3,101,2024-03-31,6,2641.0
469,44,9,2024-10-31,1,37720.7
470,5,55,2024-02-29,14,1539821.0
471,33,36,2023-03-25,12,271217.0
472,26,56,2023-01-04,7,285874.95
473,4,84,2024-06-20,12,495032.65
474,9,147,2024-06-22,12,34542.95
475,2,107,2023-10-06,15,22701.0
476,3,86,2023-05-03,11,977316.3
477,33,32,2024-07-01,2,25005.0
478,47,105,2023-12-04,3,882.55
479,2,60,2023-06-03,6,652507.0
480,20,4,2023-04-28,1,3382.0
481,33,55,2023-06-10,6,626926.85
482,33,27,2024-05-30,9,148603.0
483,41,123,2024-08-26,10,27771.0
484,22,110,2023-07-21,6,14224.35
485,23,149,2023-01-17,6,6982.0
486,48,17,2023-02-28,8,106694.5
487,42,104,2023-11-07,7,25991.0
488,33,30,2023-03-01,1,32248.0
489,33,124,2023-11-15,9,32232.55
490,14,73,2024-07-24,10,1431599.0
491,33,138,2023-04-12,6,23843.1
492,9,141,2023-10-14,4,18170.65
493,24,40,2024-06-28,1,13474.8
494,32,46,2024-02-19,2,9968.0
495,2,43,2023-02-20,8,280775.0
496,31,98,2023-09-29,10,793611.0
497,31,121,2024-10-30,9,31585.6
498,34,20,2024-01-03,13,380793.25
499,39,101,2024-07-10,15,6951.0
500,27,72,2023-09-28,4,398659.0
501,31,24,2024-05-01,14,325251.0
502,45,72,2023-01-25,12,1136177.2
503,45,54,2024-11-27,11,1270038.85
504,7,102,2023-02-21,8,6323.2
505,25,124,2024-07-24,13,49009.0
506,40,35,2023-01-13,6,62731.35
507,36,143,2024-10-01,9,37931.6
508,36,109,2024-09-19,13,7690.25
509,35,132,2024-06-18,9,14067.0
510,48,6,2023-03-10,12,141843.0
511,17,120,2024-11-15,15,46867.0
512,14,12,2024-09-25,14,36258.65
513,18,47,2024-08-08,3,17450.55
514,34,100,2023-11-23,4,418401.0
515,28,83,2024-12-18,10,1280637.05
516,32,119,2024-01-15,4,12371.85
517,49,4,2023-05-30,7,22489.35
518,48,90,2024-12-05,8,632779.0
519,5,101,2023-09-09,1,439.85
520,29,10,2023-01-14,13,416430.0
521,29,109,2024-04-11,4,2366.45
522,24,146,2023-07-24,15,7440.0
523,9,130,2024-09-19,7,27558.55
524,8,56,2024-02-15,7,285874.95
525,45,15,2024-12-11,10,265048.1
526,8,12,2023-02-03,7,18128.85
527,48,53,2024-02-13,1,53675.0
528,15,45,2024-03-31,12,118845.0
529,4,5,2024-11-29,7,165683.0
530,32,92,2024-01-04,8,675291.35
531,13,19,2023-07-21,10,164324.0
532,41,59,2024-08-11,6,496847.15
533,25,4,2023-08-15,15,48191.6
534,12,120,2023-03-25,5,15622.0
535,5,112,2024-10-22,11,23990.0
536,19,86,2023-01-17,8,748185.0
537,9,63,2023-02-27,2,265919.25
538,29,141,2024-12-13,1,4542.9
539,35,65,2024-11-21,10,242798.15
540,24,121,2023-12-15,8,28076.3
541,1,72,2023-08-11,2,189362.55
542,19,91,2024-04-22,12,1618632.0
543,3,6,2024-08-18,2,23640.0
544,28,134,2024-09-22,6,28306.0
545,39,53,2023-09-21,1,53675.0
546,19,55,2023-01-11,15,1567317.6
547,10,25,2023-07-16,1,11519.7
548,27,24,2024-07-06,14,308988.45
549,27,9,2024-10-10,10,397055.0
550,5,56,2023-08-29,14,571750.85
551,23,27,2024-06-06,1,16511.0
552,48,11,2023-04-11,15,516305.05
553,20,122,2023-01-28,7,9257.0
554,23,16,2023-11-13,15,450090.0
555,8,84,2023-08-31,6,260543.0
556,38,40,2023-02-18,9,127656.0
557,44,43,2024-11-08,4,140387.0
558,43,42,2023-01-27,2,11386.7
559,9,100,2024-03-18,5,496850.95
560,18,4,2023-04-21,10,33819.0
561,33,51,2023-12-06,2,128318.0
562,16,99,2023-06-26,4,407613.65
563,44,150,2024-02-14,9,14811.0
564,13,139,2024-09-02,11,15674.0
565,12,115,2024-03-07,11,8679.2
566,1,30,2023-09-16,7,214448.25
567,4,7,2023-09-06,3,58556.0
568,8,12,2023-08-28,1,2589.7
569,24,12,2023-06-28,12,31078.3
570,8,132,2024-12-30,10,14848.5
571,9,43,2023-06-08,11,386065.0
572,7,138,2023-06-28,3,12549.0
573,10,83,2023-12-26,1,134804.0
574,8,3,2023-03-28,12,102875.5
575,19,136,2023-10-15,14,27629.0
576,49,7,2024-04-25,10,195188.0
577,30,13,2024-04-08,11,80957.1
578,27,125,2024-11-20,3,10206.0
579,42,53,2023-07-08,14,713877.5
580,22,146,2024-06-20,14,6596.8
581,12,7,2023-06-14,10,195188.0
582,46,9,2024-11-24,5,198528.0
583,17,58,2023-10-31,2,217649.0
584,6,49,2023-06-03,2,25201.6
585,30,6,2024-02-14,14,157208.85
586,36,130,2023-02-07,14,58017.0
587,28,113,2024-08-09,7,30765.0
589,42,93,2024-08-17,14,1406678.0
590,12,82,2024-08-22,1,49052.3
591,33,54,2023-11-13,9,1039122.35
592,21,133,2024-06-02,4,7192.45
593,11,124,2023-07-10,15,56549.0
594,15,12,2024-04-22,15,38848.35
595,21,49,2024-08-08,5,63004.95
596,23,30,2023-04-23,14,451470.0
597,8,84,2023-07-05,9,390815.0
598,13,39,2024-11-01,14,414860.0
599,10,122,2023-03-16,9,11902.0
600,36,73,2024-01-06,13,1768025.05
601,11,56,2023-12-23,11,449232.2
602,35,39,2024-05-24,8,225209.85
603,19,97,2024-12-23,10,1353351.0
604,6,72,2024-02-29,10,946813.7
605,41,9,2023-04-02,4,150880.9
606,24,61,2023-05-26,11,308205.0
607,19,32,2024-01-31,1,12502.0
608,23,76,2023-11-29,4,592793.0
609,16,70,2023-08-22,10,343554.0
610,8,90,2024-03-09,11,870071.0
611,45,13,2023-04-18,9,66237.8
612,32,11,2024-01-14,10,344203.05
613,14,21,2024-07-22,14,122284.0
614,45,83,2024-03-28,1,134804.0
615,29,37,2024-06-30,5,28822.05
616,31,52,2024-08-27,1,13018.8
617,23,73,2023-07-31,5,680010.0
618,43,131,2023-06-12,8,7323.55
619,26,30,2023-09-13,3,96744.0
620,40,12,2023-09-23,2,5179.4
621,18,107,2024-09-22,8,11501.65
622,33,84,2024-04-24,14,607934.0
623,30,77,2023-10-19,14,594571.75
624,1,108,2023-03-11,5,16728.0
625,21,55,2023-05-25,5,522439.2
626,47,9,2023-08-31,12,476466.0
627,47,120,2024-04-15,3,8904.35
628,20,72,2024-12-28,3,284044.3
629,23,116,2024-04-09,8,20604.0
630,18,67,2024-09-04,13,1059495.1
631,43,15,2023-01-04,2,55800.0
632,41,61,2023-12-19,15,420279.0
633,21,117,2023-03-23,5,19489.25
634,33,88,2023-12-09,9,413276.6
635,31,63,2024-11-23,13,1728477.5
636,30,137,2024-06-30,8,27084.0
637,38,89,2023-01-20,7,523208.7
638,9,62,2023-12-10,1,97110.9
639,14,9,2023-10-25,4,158822.0
640,14,61,2023-10-01,6,159706.4
641,37,134,2024-08-08,6,26890.7
642,33,84,2024-08-28,5,206263.05
643,30,37,2024-01-15,15,91016.0
644,5,40,2023-11-19,8,107798.4
645,22,97,2024-08-04,9,1218016.0
646,44,15,2024-08-25,2,55800.0
647,18,128,2023-03-19,9,39763.2
648,24,106,2024-08-19,10,43849.0
649,25,31,2024-11-30,11,86558.3
650,21,22,2023-03-27,13,487242.65
651,6,34,2023-07-02,12,59010.0
652,22,80,2024-05-28,12,1550686.0
653,44,109,2023-05-21,13,8095.0
654,5,42,2024-01-14,5,28465.8
655,1,66,2024-04-01,14,176003.0
656,1,135,2024-10-28,7,11512.0
657,19,121,2024-12-09,13,45624.7
658,19,101,2024-07-26,5,2201.15
659,36,24,2024-01-19,11,255554.0
660,2,91,2023-10-29,12,1618632.0
661,8,134,2023-09-25,1,4482.1
662,6,38,2024-05-06,12,301657.3
663,39,147,2023-02-01,9,25907.45
664,7,33,2024-11-15,7,44659.5
665,43,114,2023-04-25,13,10391.0
666,14,15,2023-01-01,5,132524.05
667,16,124,2024-04-26,1,3581.5
668,22,64,2024-01-25,2,223011.0
669,25,110,2023-02-25,4,9982.0
670,7,124,2023-05-31,13,46558.55
671,2,66,2024-07-30,5,59715.1
672,9,124,2023-06-16,4,14326.0
673,4,95,2023-11-26,13,862129.75
674,14,108,2024-05-30,15,47673.85
675,2,148,2023-02-17,14,63648.1
676,11,4,2023-03-15,5,16909.0
677,18,7,2023-01-21,8,156150.0
678,3,107,2024-09-20,10,14377.3
679,43,133,2024-08-06,2,3785.0
680,6,21,2023-12-08,12,104815.0
681,32,76,2024-06-10,3,422365.25
682,20,18,2024-10-09,2,53145.0
683,18,130,2023-07-27,14,58017.0
684,1,63,2024-08-08,12,1679492.0
685,9,98,2024-01-12,3,238083.0
686,43,9,2023-05-27,13,490363.4
687,18,149,2024-06-20,1,1164.0
688,43,55,2024-01-04,8,835903.1
689,43,125,2024-03-15,7,22623.3
690,43,71,2024-07-23,6,781044.0
691,14,2,2024-12-17,15,199473.4
692,33,18,2023-06-21,3,79717.0
693,18,87,2024-09-09,8,534879.0
694,27,17,2023-07-05,5,70194.0
695,17,71,2023-12-06,5,650870.0
696,36,90,2024-11-16,14,1107363.0
697,27,106,2024-04-20,4,16662.05
698,3,124,2023-03-22,10,37699.0
699,2,128,2023-01-24,8,35345.7
700,6,77,2023-10-15,2,84938.55
701,47,120,2023-04-29,2,5936.55
702,20,16,2024-02-06,8,240048.0
703,23,41,2024-05-08,3,31800.0
704,16,16,2024-04-27,7,199539.9
