id,id_cliente,id_produto,data_venda,qtd,total,produto,categoria_real,preco
35,33,35,2024-04-02,10,110055.0,Radar Furuno Swift,eletronicos,1100553.0
36,18,136,2023-11-24,7,13123.3,Cabo De Nylon Bruce Flux Hydro,ancoragem,19735.0
37,24,32,2023-08-29,13,162532.0,Sonda Ais Impulse Oceanic Zenith,eletronicos,1250246.0
38,38,87,2024-04-30,9,601739.0,Motor Elétrico Volvo Boost 225Hp,propulsao,668599.0
39,13,71,2024-10-16,8,989322.4,Motor Elétrico Torqeedo Pulse 300Hp,propulsao,13017406.0
40,27,116,2023-09-09,5,12878.0,Cabo De Nylon Delta Velocity Oceanic Abyss,ancoragem,257552.0
41,46,34,2024-06-04,3,14753.0,Transponder Ais Helix Torque,eletronicos,491753.0
42,1,6,2023-08-12,12,141843.0,Transponder Ais Vector,eletronicos,1182021.0
43,11,70,2023-08-10,14,480976.0,Motor Diesel Parsun Boost Helix Velocity 146Hp,propulsao,3435543.0
44,39,81,2024-03-12,8,928328.6,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,propulsao,12214849.0
45,22,149,2024-09-12,11,12160.0,Cabo De Nylon Bruce Core,ancoragem,116362.0
46,25,120,2023-12-15,5,15622.0,Boia De Arqueamento Danforth Flux Tidal,ancoragem,312449.0
47,4,60,2024-02-04,15,1631266.0,Motor De Popa Honda Velocity Drift 258Hp,propulsao,10875109.0
48,13,54,2024-05-30,15,1823022.0,Motor De Popa Yamaha Evo Dash 155Hp,propulsao,12153482.0
49,14,74,2024-08-29,7,575614.5,Motor De Popa Honda Torque 228Hp,propulsao,8655856.0
50,8,19,2023-12-26,15,246485.0,Sonda Lowrance Tidal Storm Vox,eletronicos,1643235.0
51,2,52,2024-08-28,4,54816.0,Motor Diesel Honda Zen Tidal Mako 26Hp,propulsao,137041.0
52,45,106,2024-03-16,13,57003.0,Âncora Danforth Nitro Titan Vox,ancoragem,438487.0
53,2,25,2024-10-03,12,145518.0,Rádio Lowrance Nitro Thrust Barracuda,eletronicos,1212646.0
54,27,144,2024-09-30,4,8857.0,Boia De Arqueamento Bruce Barracuda,ancoragem,221414.0
55,35,54,2024-11-24,3,346373.8,Motor De Popa Yamaha Evo Dash 155Hp,propulsao,12153482.0
56,1,125,2024-03-11,13,44227.0,Cabo De Nylon Danforth Kinetic,ancoragem,340207.0
57,40,110,2023-07-17,11,27451.0,Corrente Bruce Current,ancoragem,249551.0
58,46,45,2024-08-22,2,19807.0,Gps Furuno Current,eletronicos,990371.0
60,11,49,2024-03-20,14,176415.0,Sonda Furuno Swift,eletronicos,1326425.0
61,28,56,2024-09-05,8,326714.5,Motor Elétrico Torqeedo Velocity Swift 74Hp,propulsao,4298877.0
62,10,113,2024-05-18,15,62627.8,Âncora Delta Mako Ultra,ancoragem,439496.0
63,43,42,2024-01-27,15,85398.35,Transponder Lowrance Axis,eletronicos,599284.0
64,24,106,2023-10-17,13,57003.0,Âncora Danforth Nitro Titan Vox,ancoragem,438487.0
65,21,4,2024-10-14,7,22489.35,Rádio Ais Hydro Tidal Zen,eletronicos,338188.0
66,33,114,2024-10-12,9,7194.0,Boia De Arqueamento Danforth Tidal Zen Swift,ancoragem,79929.0
67,18,85,2024-02-04,3,109949.2,Motor De Popa Parsun Impulse 162Hp,propulsao,385787.0
68,43,139,2024-01-16,9,12824.0,Boia De Arqueamento Danforth Torque,ancoragem,142488.0
69,34,139,2023-09-18,8,11399.0,Boia De Arqueamento Danforth Torque,ancoragem,142488.0
70,4,98,2023-08-13,13,980110.25,Motor Diesel Parsun Velocity Abyss Orca 235Hp,propulsao,7936113.0
71,43,70,2023-09-09,5,163188.15,Motor Diesel Parsun Boost Helix Velocity 146Hp,propulsao,3435543.0
72,16,48,2024-08-10,2,29473.0,Gps Furuno Magnum Drift,eletronicos,1473635.0
73,24,10,2024-12-20,3,91294.05,Piloto Automático Simrad Titan Flux Magnum,eletronicos,3203304.0
74,45,54,2024-09-25,11,1270038.85,Motor De Popa Yamaha Evo Dash 155Hp,propulsao,12153482.0
75,38,91,2024-09-21,10,1348860.0,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,propulsao,13488602.0
76,28,18,2024-07-03,14,353413.3,Rádio Simrad Axis,eletronicos,2657245.0
77,6,110,2024-12-13,2,4741.45,Corrente Bruce Current,ancoragem,249551.0
78,43,105,2024-08-13,7,2167.0,Cabo De Nylon Danforth Prime,ancoragem,30954.0
79,10,12,2024-12-31,13,35440.0,Gps Ais Drift Flux Vox,eletronicos,272618.0
80,46,13,2024-03-06,6,46483.0,Radar Simrad Boost,eletronicos,77471.0
81,28,82,2024-04-11,10,490523.0,Motor Elétrico Volvo Nautic Vox 118Hp,propulsao,5163404.0
82,33,32,2024-07-11,9,106895.9,Sonda Ais Impulse Oceanic Zenith,eletronicos,1250246.0
83,17,123,2023-03-04,5,13190.75,Cabo De Nylon Danforth Orca Aero,ancoragem,277707.0
84,25,35,2023-05-01,1,10455.7,Radar Furuno Swift,eletronicos,1100553.0
85,18,80,2024-09-05,7,904567.0,Motor De Popa Volvo Maré 69Hp,propulsao,12922384.0
86,15,145,2023-02-06,8,34799.0,Boia De Arqueamento Delta Nexus,ancoragem,434986.0
87,7,20,2023-11-24,14,431668.0,Radar Ais Marlin,eletronicos,3083344.0
88,29,147,2024-11-03,5,15150.0,Corrente Danforth Force Leviathan Impulse,ancoragem,303008.0
89,30,75,2023-12-21,8,262147.0,Motor Diesel Volvo Flow Leviathan Maré 187Hp,propulsao,3276838.0
90,2,72,2024-07-22,3,284044.3,Motor De Popa Volvo Hydro Dash 256Hp,propulsao,9966464.0
91,23,36,2023-06-01,15,339021.0,Radar Lowrance Aqua Pulse,eletronicos,2260139.0
92,40,2,2023-04-19,7,93087.65,Transponder Furuno Marlin,eletronicos,1399815.0
93,37,113,2023-01-11,11,45927.75,Âncora Delta Mako Ultra,ancoragem,439496.0
94,36,90,2023-08-02,8,632779.0,Motor De Popa Yamaha Thrust Marlin Nexus 182Hp,propulsao,7909733.0
95,25,131,2024-12-17,12,11563.0,Boia De Arqueamento Danforth Core Vortex,ancoragem,96359.0
96,11,82,2023-08-22,8,392418.4,Motor Elétrico Volvo Nautic Vox 118Hp,propulsao,5163404.0
97,25,48,2024-09-18,2,29473.0,Gps Furuno Magnum Drift,eletronicos,1473635.0
98,21,142,2024-02-13,2,1570.35,Âncora Danforth Vector Evo,ancoragem,82641.0
99,49,81,2024-01-06,9,1099336.0,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,propulsao,12214849.0
100,22,93,2023-01-21,4,381812.6,Motor Elétrico Yamaha Flow 204Hp,propulsao,10047701.0
101,11,47,2024-07-04,8,48984.0,Rádio Simrad Tidal Aqua,eletronicos,612296.0
102,9,67,2024-02-02,9,733495.95,Motor De Popa Yamaha Mako 108Hp,propulsao,8578905.0
103,36,146,2023-04-12,5,2356.0,Corrente Delta Vox Ion,ancoragem,49598.0
104,11,24,2024-02-03,11,242776.3,Gps Ais Orca Marlin Velocity,eletronicos,2323218.0
105,23,77,2023-10-31,6,254816.6,Motor Diesel Tohatsu Vector 197Hp,propulsao,4470467.0
106,48,143,2023-03-29,8,35491.0,Âncora Delta Hydra Kraken Velocity,ancoragem,443643.0
107,38,98,2024-08-10,8,634889.0,Motor Diesel Parsun Velocity Abyss Orca 235Hp,propulsao,7936113.0
108,4,139,2023-01-19,6,8121.55,Boia De Arqueamento Danforth Torque,ancoragem,142488.0
109,39,96,2024-09-18,7,494346.0,Motor De Popa Tohatsu Boost Swift 126Hp,propulsao,7062084.0
110,34,148,2024-10-27,8,38284.0,Âncora Delta Force Barracuda Mako,ancoragem,478556.0
111,28,32,2023-03-06,10,125025.0,Sonda Ais Impulse Oceanic Zenith,eletronicos,1250246.0
112,37,100,2024-12-11,9,894331.9,Motor Elétrico Honda Vector Abyss 220Hp,propulsao,10460024.0
113,28,28,2024-06-12,9,121910.65,Piloto Automático Ais Core,eletronicos,1425856.0
114,12,75,2023-03-05,5,163842.0,Motor Diesel Volvo Flow Leviathan Maré 187Hp,propulsao,3276838.0
115,27,85,2023-08-10,1,36650.05,Motor De Popa Parsun Impulse 162Hp,propulsao,385787.0
116,7,130,2023-03-19,3,11810.4,Boia De Arqueamento Delta Zen Boost Vortex,ancoragem,414409.0
117,27,18,2023-06-03,3,75731.15,Rádio Simrad Axis,eletronicos,2657245.0
118,18,122,2023-07-22,10,13225.0,Corrente Danforth Zenith Oceanic Torque,ancoragem,132247.0
119,46,80,2023-04-08,1,129224.0,Motor De Popa Volvo Maré 69Hp,propulsao,12922384.0
120,6,81,2023-06-17,15,1832227.0,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,propulsao,12214849.0
121,25,132,2024-02-14,13,20319.0,Corrente Bruce Nautic Evo,ancoragem,156297.0
122,8,128,2023-03-09,10,44181.65,Boia De Arqueamento Bruce Marlin Hydra,ancoragem,465072.0
123,10,106,2023-06-15,6,24993.55,Âncora Danforth Nitro Titan Vox,ancoragem,438487.0
124,21,43,2023-05-18,3,105291.0,Sonda Ais Barracuda,eletronicos,3509686.0
125,44,112,2024-08-23,11,23990.0,Corrente Danforth Tidal,ancoragem,218095.0
126,29,80,2024-07-14,5,613813.05,Motor De Popa Volvo Maré 69Hp,propulsao,12922384.0
127,26,55,2024-02-09,7,769910.0,Motor Diesel Volvo Flow Oceanic 259Hp,propulsao,1099872.0
128,1,53,2023-03-24,14,751450.0,Motor Elétrico Torqeedo Zen Titan Hydra 129Hp,propulsao,5367501.0
129,3,82,2024-02-26,11,567974.0,Motor Elétrico Volvo Nautic Vox 118Hp,propulsao,5163404.0
130,15,123,2024-12-18,2,5554.0,Cabo De Nylon Danforth Orca Aero,ancoragem,277707.0
132,3,5,2024-10-15,12,284028.0,Piloto Automático Furuno Storm,eletronicos,2366901.0
133,34,122,2024-11-13,2,2512.75,Corrente Danforth Zenith Oceanic Torque,ancoragem,132247.0
134,7,18,2023-11-01,7,176706.65,Rádio Simrad Axis,eletronicos,2657245.0
135,14,22,2024-09-26,11,433981.0,Transponder Furuno Force Ion,eletronicos,3945286.0
136,16,70,2023-02-03,10,343554.0,Motor Diesel Parsun Boost Helix Velocity 146Hp,propulsao,3435543.0
137,17,62,2024-11-14,5,511110.0,Motor Diesel Yanmar Velocity 37Hp,propulsao,10222197.0
138,45,86,2023-06-11,4,355388.35,Motor Diesel Volvo Helix Evo Force 144Hp,propulsao,9352313.0
139,38,123,2024-12-22,1,2638.15,Cabo De Nylon Danforth Orca Aero,ancoragem,277707.0
140,20,83,2024-05-29,5,640318.05,Motor Diesel Yanmar Dash Nitro 184Hp,propulsao,13480388.0
141,29,127,2024-06-15,5,7359.65,Cabo De Nylon Delta Velocity Core Mako,ancoragem,154935.0
142,9,34,2024-12-28,5,24588.0,Transponder Ais Helix Torque,eletronicos,491753.0
143,23,142,2024-03-16,5,3925.4,Âncora Danforth Vector Evo,ancoragem,82641.0
144,27,116,2024-01-15,4,10302.0,Cabo De Nylon Delta Velocity Oceanic Abyss,ancoragem,257552.0
145,3,122,2023-10-16,12,15076.5,Corrente Danforth Zenith Oceanic Torque,ancoragem,132247.0
146,11,70,2023-12-26,10,343554.0,Motor Diesel Parsun Boost Helix Velocity 146Hp,propulsao,3435543.0
147,24,129,2023-07-01,1,3102.7,Corrente Delta Boost,ancoragem,326621.0
148,13,111,2024-09-06,15,61064.1,Boia De Arqueamento Danforth Aero Dash,ancoragem,428523.0
149,7,57,2024-07-13,1,112851.45,Motor De Popa Honda Vector Kinetic 174Hp,propulsao,11879057.0
150,5,114,2024-04-06,13,9871.45,Boia De Arqueamento Danforth Tidal Zen Swift,ancoragem,79929.0
151,45,39,2023-12-15,6,177797.0,Gps Furuno Vector,eletronicos,2963283.0
152,27,82,2023-06-06,8,413072.0,Motor Elétrico Volvo Nautic Vox 118Hp,propulsao,5163404.0
153,48,30,2023-12-30,11,336990.65,Transponder Ais Boost,eletronicos,3224787.0
154,22,137,2024-02-17,10,32162.25,Âncora Danforth Impulse,ancoragem,338547.0
155,12,21,2024-06-22,9,78611.0,Gps Ais Nautic Thrust,eletronicos,873456.0
156,11,44,2024-10-22,13,133464.55,Gps Simrad Zen Hydra Peak,eletronicos,1080684.0
157,48,17,2024-04-24,1,13337.05,Rádio Ais Oceanic Pulse,eletronicos,1403878.0
158,9,138,2024-11-27,5,19869.25,Boia De Arqueamento Delta Peak Boost Thrust,ancoragem,418305.0
159,24,66,2024-03-07,15,188574.0,Motor De Popa Tohatsu Poseidon Helix Prime 135Hp,propulsao,1257163.0
160,8,121,2023-05-27,11,40637.0,Âncora Danforth Oceanic Helix Flux,ancoragem,369427.0
161,19,126,2024-09-09,8,21416.0,Corrente Danforth Hydro,ancoragem,267706.0
162,12,147,2024-06-25,15,43178.45,Corrente Danforth Force Leviathan Impulse,ancoragem,303008.0
163,4,70,2023-03-09,7,228463.6,Motor Diesel Parsun Boost Helix Velocity 146Hp,propulsao,3435543.0
164,23,9,2023-09-14,5,198528.0,Transponder Ais Titan Pulse,eletronicos,397055.0
165,23,27,2023-12-28,8,125487.4,Gps Garmin Vortex Maré Drift,eletronicos,1651145.0
166,28,111,2023-02-17,2,8570.0,Boia De Arqueamento Danforth Aero Dash,ancoragem,428523.0
167,19,122,2024-08-22,11,13819.65,Corrente Danforth Zenith Oceanic Torque,ancoragem,132247.0
168,48,7,2024-05-10,6,111257.35,Radar Ais Zen,eletronicos,1951877.0
169,23,101,2023-01-24,2,927.0,Cabo De Nylon Delta Vortex,ancoragem,4634.0
170,16,116,2023-12-30,1,2576.0,Cabo De Nylon Delta Velocity Oceanic Abyss,ancoragem,257552.0
171,8,24,2023-12-22,12,278786.0,Gps Ais Orca Marlin Velocity,eletronicos,2323218.0
172,15,123,2023-07-26,13,34296.9,Cabo De Nylon Danforth Orca Aero,ancoragem,277707.0
173,13,131,2023-07-25,1,964.0,Boia De Arqueamento Danforth Core Vortex,ancoragem,96359.0
174,42,16,2023-09-01,6,180036.0,Sonda Garmin Axis,eletronicos,3000599.0
175,19,88,2023-01-28,6,275518.05,Motor Diesel Tohatsu Kinetic Poseidon 113Hp,propulsao,4833649.0
176,32,124,2024-11-14,12,45239.0,Corrente Delta Axis,ancoragem,376993.0
177,17,69,2023-03-11,4,181060.0,Motor De Popa Torqeedo Ultra Impulse 292Hp,propulsao,4526502.0
178,6,143,2023-10-07,6,25288.05,Âncora Delta Hydra Kraken Velocity,ancoragem,443643.0
179,41,76,2024-09-27,14,1971036.25,Motor Diesel Honda Aero 205Hp,propulsao,14819823.0
180,25,38,2024-05-16,2,52922.0,Rádio Ais Force,eletronicos,2646114.0
181,28,127,2023-02-02,11,16190.85,Cabo De Nylon Delta Velocity Core Mako,ancoragem,154935.0
182,7,115,2023-09-06,5,4153.0,Cabo De Nylon Delta Force Magnum Leviathan,ancoragem,83059.0
183,27,80,2023-04-26,9,1163015.0,Motor De Popa Volvo Maré 69Hp,propulsao,12922384.0
184,33,7,2024-03-31,3,55628.2,Radar Ais Zen,eletronicos,1951877.0
185,39,27,2023-09-01,7,115580.0,Gps Garmin Vortex Maré Drift,eletronicos,1651145.0
186,14,7,2023-06-23,10,185428.6,Radar Ais Zen,eletronicos,1951877.0
187,44,80,2024-01-09,2,245525.6,Motor De Popa Volvo Maré 69Hp,propulsao,12922384.0
188,26,117,2024-02-07,10,41030.0,Corrente Danforth Zen Abyss Axis,ancoragem,410301.0
190,24,138,2023-12-18,8,31790.8,Boia De Arqueamento Delta Peak Boost Thrust,ancoragem,418305.0
191,43,101,2024-11-24,11,5097.0,Cabo De Nylon Delta Vortex,ancoragem,4634.0
192,6,148,2024-01-26,9,40916.5,Âncora Delta Force Barracuda Mako,ancoragem,478556.0
193,7,144,2024-03-01,6,12620.75,Boia De Arqueamento Bruce Barracuda,ancoragem,221414.0
194,9,52,2024-07-06,6,82225.0,Motor Diesel Honda Zen Tidal Mako 26Hp,propulsao,137041.0
195,9,81,2023-06-24,14,1710079.0,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,propulsao,12214849.0
196,8,74,2023-12-26,9,779027.0,Motor De Popa Honda Torque 228Hp,propulsao,8655856.0
197,2,83,2024-01-29,12,1536764.65,Motor Diesel Yanmar Dash Nitro 184Hp,propulsao,13480388.0
198,38,106,2023-11-14,10,43849.0,Âncora Danforth Nitro Titan Vox,ancoragem,438487.0
199,2,99,2023-10-31,11,1120936.35,Motor Elétrico Honda Flux Ultra 273Hp,propulsao,10726666.0
200,20,44,2023-10-20,7,71865.6,Gps Simrad Zen Hydra Peak,eletronicos,1080684.0
201,38,79,2023-03-24,11,727615.0,Motor Diesel Tohatsu Zenith 60Hp,propulsao,6614685.0
202,27,57,2023-05-11,8,950325.0,Motor De Popa Honda Vector Kinetic 174Hp,propulsao,11879057.0
203,13,18,2023-01-18,3,79717.0,Rádio Simrad Axis,eletronicos,2657245.0
204,22,138,2024-08-24,8,31790.8,Boia De Arqueamento Delta Peak Boost Thrust,ancoragem,418305.0
205,41,119,2023-09-25,9,27836.9,Âncora Bruce Aqua,ancoragem,325582.0
206,9,124,2024-08-30,8,28651.05,Corrente Delta Axis,ancoragem,376993.0
207,10,51,2024-09-01,15,914265.75,Motor Diesel Tohatsu Evo Zenith 16Hp,propulsao,6415899.0
208,37,74,2024-07-21,3,259676.0,Motor De Popa Honda Torque 228Hp,propulsao,8655856.0
209,38,15,2024-09-11,10,278998.0,Radar Garmin Tidal Thrust,eletronicos,2789976.0
210,29,18,2024-04-02,12,302925.55,Rádio Simrad Axis,eletronicos,2657245.0
211,17,108,2023-08-31,14,44496.1,Boia De Arqueamento Bruce Titan,ancoragem,334556.0
212,5,9,2023-02-23,4,150880.9,Transponder Ais Titan Pulse,eletronicos,397055.0
213,6,35,2023-08-27,8,88044.0,Radar Furuno Swift,eletronicos,1100553.0
214,14,66,2023-11-15,7,83600.95,Motor De Popa Tohatsu Poseidon Helix Prime 135Hp,propulsao,1257163.0
215,43,144,2023-09-16,13,28784.0,Boia De Arqueamento Bruce Barracuda,ancoragem,221414.0
216,9,55,2024-08-09,3,313463.9,Motor Diesel Volvo Flow Oceanic 259Hp,propulsao,1099872.0
217,22,112,2023-10-19,13,26934.4,Corrente Danforth Tidal,ancoragem,218095.0
218,38,84,2024-01-16,8,330021.45,Motor De Popa Torqeedo Zenith Peak Thrust 212Hp,propulsao,4342388.0
219,9,115,2023-11-02,14,11628.0,Cabo De Nylon Delta Force Magnum Leviathan,ancoragem,83059.0
220,29,23,2024-08-29,14,148675.95,Piloto Automático Furuno Torque Peak,eletronicos,1117863.0
221,39,104,2023-07-23,4,14852.0,Cabo De Nylon Delta Zen Vortex Storm,ancoragem,371302.0
222,27,116,2023-06-21,9,23180.0,Cabo De Nylon Delta Velocity Oceanic Abyss,ancoragem,257552.0
223,18,125,2023-06-11,9,29088.05,Cabo De Nylon Danforth Kinetic,ancoragem,340207.0
224,42,34,2023-11-21,10,46716.25,Transponder Ais Helix Torque,eletronicos,491753.0
225,41,106,2023-09-03,14,58318.6,Âncora Danforth Nitro Titan Vox,ancoragem,438487.0
226,18,144,2024-09-14,13,27344.8,Boia De Arqueamento Bruce Barracuda,ancoragem,221414.0
227,15,9,2024-11-18,6,238233.0,Transponder Ais Titan Pulse,eletronicos,397055.0
228,6,78,2024-01-24,6,730569.0,Motor Elétrico Honda Mako Axis 131Hp,propulsao,12176156.0
229,42,100,2023-07-17,4,418401.0,Motor Elétrico Honda Vector Abyss 220Hp,propulsao,10460024.0
230,14,78,2024-04-08,5,578367.6,Motor Elétrico Honda Mako Axis 131Hp,propulsao,12176156.0
231,6,16,2023-05-11,4,120024.0,Sonda Garmin Axis,eletronicos,3000599.0
232,42,144,2024-01-18,9,18930.65,Boia De Arqueamento Bruce Barracuda,ancoragem,221414.0
233,23,83,2023-06-05,4,539216.0,Motor Diesel Yanmar Dash Nitro 184Hp,propulsao,13480388.0
234,46,22,2024-08-17,2,74960.7,Transponder Furuno Force Ion,eletronicos,3945286.0
235,29,131,2024-07-28,2,1830.65,Boia De Arqueamento Danforth Core Vortex,ancoragem,96359.0
236,33,113,2023-08-01,10,41752.5,Âncora Delta Mako Ultra,ancoragem,439496.0
237,36,117,2024-03-23,14,57442.0,Corrente Danforth Zen Abyss Axis,ancoragem,410301.0
238,40,55,2024-04-17,4,417951.55,Motor Diesel Volvo Flow Oceanic 259Hp,propulsao,1099872.0
239,28,28,2024-01-10,10,142586.0,Piloto Automático Ais Core,eletronicos,1425856.0
240,47,91,2023-04-21,10,1348860.0,Motor Elétrico Tohatsu Zenith Oceanic 113Hp,propulsao,13488602.0
241,21,81,2023-11-28,5,610742.0,Motor Elétrico Torqeedo Barracuda Magnum Helix 101Hp,propulsao,12214849.0
242,2,132,2024-03-17,14,21882.0,Corrente Bruce Nautic Evo,ancoragem,156297.0
243,40,98,2023-02-23,14,1055503.2,Motor Diesel Parsun Velocity Abyss Orca 235Hp,propulsao,7936113.0
244,28,130,2024-07-17,10,41441.0,Boia De Arqueamento Delta Zen Boost Vortex,ancoragem,414409.0
245,12,55,2024-10-07,7,769910.0,Motor Diesel Volvo Flow Oceanic 259Hp,propulsao,1099872.0
246,28,137,2023-07-01,14,47397.0,Âncora Danforth Impulse,ancoragem,338547.0
247,23,22,2024-05-23,11,412281.95,Transponder Furuno Force Ion,eletronicos,3945286.0
248,36,103,2024-12-28,12,21470.0,Âncora Delta Swift,ancoragem,178919.0
249,38,67,2024-12-07,13,1115258.0,Motor De Popa Yamaha Mako 108Hp,propulsao,8578905.0
250,34,66,2023-12-01,14,167202.85,Motor De Popa Tohatsu Poseidon Helix Prime 135Hp,propulsao,1257163.0
252,15,70,2024-12-10,1,34355.0,Motor Diesel Parsun Boost Helix Velocity 146Hp,propulsao,3435543.0
253,5,61,2024-03-15,14,392261.0,Motor Diesel Honda Prime 84Hp,propulsao,2801863.0
254,24,5,2023-10-27,7,157398.85,Piloto Automático Furuno Storm,eletronicos,2366901.0
255,10,74,2023-09-21,9,740075.65,Motor De Popa Honda Torque 228Hp,propulsao,8655856.0
256,12,130,2023-06-05,4,16576.0,Boia De Arqueamento Delta Zen Boost Vortex,ancoragem,414409.0
257,15,124,2023-04-30,1,3581.5,Corrente Delta Axis,ancoragem,376993.0
258,49,7,2024-09-12,3,55628.2,Radar Ais Zen,eletronicos,1951877.0
259,11,51,2023-11-27,5,320795.0,Motor Diesel Tohatsu Evo Zenith 16Hp,propulsao,6415899.0
260,3,59,2024-03-01,1,87166.0,Motor Diesel Yanmar Hydro Magnum Boost 267Hp,propulsao,8716614.0
261,11,130,2024-07-24,4,16576.0,Boia De Arqueamento Delta Zen Boost Vortex,ancoragem,414409.0
262,1,65,2023-02-26,15,383366.0,Motor De Popa Torqeedo Nautic Swift 223Hp,propulsao,255577.0
263,3,107,2024-11-29,2,2875.65,Boia De Arqueamento Bruce Tidal Marlin,ancoragem,151338.0
264,10,32,2024-01-24,12,142528.5,Sonda Ais Impulse Oceanic Zenith,eletronicos,1250246.0
265,15,64,2024-12-01,12,1338067.0,Motor Elétrico Yamaha Swift Drift Current 265Hp,propulsao,11150555.0
266,45,16,2023-08-17,9,270054.0,Sonda Garmin Axis,eletronicos,3000599.0
267,41,101,2023-07-15,14,6488.0,Cabo De Nylon Delta Vortex,ancoragem,4634.0
268,24,97,2024-11-09,5,676675.0,Motor De Popa Tohatsu Evo 168Hp,propulsao,13533507.0
269,4,82,2024-06-13,8,413072.0,Motor Elétrico Volvo Nautic Vox 118Hp,propulsao,5163404.0
270,2,119,2024-09-16,12,39070.0,Âncora Bruce Aqua,ancoragem,325582.0
271,49,105,2023-08-20,15,4643.0,Cabo De Nylon Danforth Prime,ancoragem,30954.0
272,6,106,2023-10-05,8,33325.05,Âncora Danforth Nitro Titan Vox,ancoragem,438487.0
273,2,143,2024-01-21,15,66546.0,Âncora Delta Hydra Kraken Velocity,ancoragem,443643.0
274,40,141,2024-07-14,9,43036.0,Boia De Arqueamento Bruce Nexus Abyss,ancoragem,47818.0
275,40,67,2024-02-25,6,514734.0,Motor De Popa Yamaha Mako 108Hp,propulsao,8578905.0
276,41,110,2023-12-12,10,23707.25,Corrente Bruce Current,ancoragem,249551.0
